,balikpapan,bandung,batam,jakarta,makassar,medan,palembang,pekanbaru,surabaya,yogyakarta
2018-07-30,69650.0,57200.0,63050.0,83700.0,44350.0,40650.0,71950.0,72650.0,71450.0,55350.0
2018-07-31,69650.0,57200.0,63050.0,83700.0,44350.0,40650.0,71950.0,72650.0,71450.0,55350.0
2018-08-01,69650.0,59400.0,61900.0,87200.0,44200.0,40650.0,68700.0,73400.0,67800.0,55650.0
2018-08-02,69650.0,59400.0,61900.0,87200.0,44200.0,40650.0,68700.0,73400.0,67800.0,55650.0
2018-08-03,69650.0,59400.0,61900.0,87200.0,44200.0,40650.0,68700.0,73400.0,67800.0,55650.0
2018-08-04,,,,,,,,,,
2018-08-05,,,,,,,,,,
2018-08-06,69650.0,59400.0,61900.0,87200.0,44200.0,40650.0,68700.0,73400.0,67800.0,55650.0
2018-08-07,69650.0,59400.0,61900.0,87200.0,44200.0,40650.0,68700.0,73400.0,67800.0,55650.0
2018-08-08,70900.0,58250.0,68150.0,86450.0,43850.0,39750.0,66050.0,73400.0,67800.0,53150.0
2018-08-09,70900.0,58250.0,68150.0,86450.0,43850.0,39750.0,66050.0,73400.0,67800.0,53150.0
2018-08-10,70900.0,58250.0,68150.0,86450.0,43850.0,39750.0,66050.0,73400.0,67800.0,53150.0
2018-08-11,,,,,,,,,,
2018-08-12,,,,,,,,,,
2018-08-13,70900.0,58250.0,68150.0,86450.0,43850.0,39750.0,66050.0,73400.0,67800.0,53150.0
2018-08-14,70900.0,58250.0,68150.0,86450.0,43850.0,39750.0,66050.0,73400.0,67800.0,53150.0
2018-08-15,70900.0,54700.0,67150.0,61800.0,45000.0,41400.0,66050.0,73300.0,67800.0,58250.0
2018-08-16,70900.0,54700.0,67150.0,61800.0,45000.0,41400.0,66050.0,73300.0,67800.0,58250.0
2018-08-17,,,,,,,,,,
2018-08-18,,,,,,,,,,
2018-08-19,,,,,,,,,,
2018-08-20,70900.0,54700.0,67150.0,61800.0,45000.0,41400.0,66050.0,73300.0,67800.0,58250.0
